Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
09/21/00,Dem,849,522.478,0.58,0.638,0.615,0.629
09/21/00,Reform,1171,3.488,0.002,0.004,0.003,0.003
09/21/00,Rep,1561,618.311,0.35,0.43,0.396,0.388
09/22/00,Dem,347,212.272,0.604,0.648,0.612,0.606
09/22/00,Reform,1426,4.478,0.002,0.004,0.003,0.003
09/22/00,Rep,1103,431.229,0.376,0.399,0.391,0.391
09/23/00,Dem,318,193.079,0.6,0.616,0.607,0.61
09/23/00,Reform,297,0.758,0.002,0.003,0.003,0.002
09/23/00,Rep,182,70.124,0.375,0.399,0.385,0.382
09/24/00,Dem,1149,673.582,0.58,0.613,0.586,0.58
09/24/00,Reform,369,0.742,0.002,0.003,0.002,0.002
09/24/00,Rep,328,132.326,0.385,0.409,0.403,0.409
09/25/00,Dem,1596,931.118,0.575,0.606,0.583,0.588
